id,type,name,dealNo,name_En,productSize,productSize_En,slug,ratingCount,ratingAverage,reviewsCount,shortDescription,shortDescription_En,description,description_En,categoryId,cateName,cateName_En,cateMetaTags,sku,rankDiscount,rootPrice,displayRootPrice,price,displayPrice,rankDiscountAmount,priceDiscountDisPlay,realPrice,oldPriceDisPlay,percentOfSavingDisPlay,currency,parentId,images,hasOptions,thumbnailImage,promotionLink,productNote,productImages,isParent,attributes,attributeValues,productOptionValues,productOptions,productVariations,displayOrder,isLove,metaTags,isRequiredProductOption,percentOfPriceDiscount,brandCode,url,urlDisplay,barcode,uomId,uomName,refPrice,refPriceDisplay,requiredQuantity,promotion,invAvailableQty,menuCategoryId,processingType,hasDefaultRelatedProducts,saleCount,freeshipCouponLabel,productSizes,comboGroups,productMenuIsDisable,productMenuDisableNote,calculatedPrice.price,calculatedPrice.oldPrice,calculatedPrice.rootPriceWithoutTax,calculatedPrice.rootPriceWithTax,calculatedPrice.vat,calculatedPrice.priceIncVat,productThumbnail.dir,productThumbnail.full,productThumbnail.medium,productThumbnail.thumbnail
2046,4,Trà Oolong Dâu Mai Sơn (L),,Tra Oolong Dau Mai Son (L),,,tra-oolong-dau-mai-son-l--2046,0,0.0,0,,,,,1102,Sản phẩm bên POS Lotus(news),,,RB00006,0.0,59000.0,"59,000₫",59000.0,"59,000₫",0.0,,0.0,,,,,,False,,,,[],False,,[],[],[],[],0,False,,False,0,KATINAT,,Products/katinat/tra-oolong-dau-mai-son-l--2046,,3,Ly,,,0,,,1102,0,False,0,,,,False,,59000.0,,54629.62962962963,59000.0,8,True,,,,
2045,4,Mê Xỉu (S),,Me Xiu (S),,,me-xiu-s--2045,0,0.0,0,,,,,1102,Sản phẩm bên POS Lotus(news),,,HB00019,0.0,39000.0,"39,000₫",39000.0,"39,000₫",0.0,,0.0,,,,,,False,,,,[],False,,[],[],[],[],0,False,,False,0,KATINAT,,Products/katinat/me-xiu-s--2045,,3,Ly,,,0,,,1102,0,False,1,,,,False,,39000.0,,36111.11111111111,39000.0,8,True,,,,
2044,4,Mê Đen Đá (S),,Me Den Da (S),,,me-den-da-s--2044,0,0.0,0,,,,,1102,Sản phẩm bên POS Lotus(news),,,HB00022,0.0,35000.0,"35,000₫",35000.0,"35,000₫",0.0,,0.0,,,,,,False,,,,[],False,,[],[],[],[],0,False,,False,0,KATINAT,,Products/katinat/me-den-da-s--2044,,3,Ly,,,0,,,1102,0,False,1,,,,False,,35000.0,,32407.40740740741,35000.0,8,True,,,,
2043,4,Mê Đen Đá (L),,Me Den Da (L),,,me-den-da-l--2043,0,0.0,0,,,,,1102,Sản phẩm bên POS Lotus(news),,,HB00023,0.0,49000.0,"49,000₫",49000.0,"49,000₫",0.0,,0.0,,,,,,False,,,,[],False,,[],[],[],[],0,False,,False,0,KATINAT,,Products/katinat/me-den-da-l--2043,,3,Ly,,,0,,,1102,0,False,0,,,,False,,49000.0,,45370.37037037037,49000.0,8,True,,,,
2042,4,Mê Xỉu (L),,Me Xiu (L),,,me-xiu-l--2042,0,0.0,0,,,,,1102,Sản phẩm bên POS Lotus(news),,,HB00020,0.0,55000.0,"55,000₫",55000.0,"55,000₫",0.0,,0.0,,,,,,False,,,,[],False,,[],[],[],[],0,False,,False,0,KATINAT,,Products/katinat/me-xiu-l--2042,,3,Ly,,,0,,,1102,0,False,0,,,,False,,55000.0,,50925.92592592593,55000.0,8,True,,,,
2040,4,Mê Sữa Đá (L),,Me Sua Da (L),,,me-sua-da-l--2040,0,0.0,0,,,,,1102,Sản phẩm bên POS Lotus(news),,,HB00026,0.0,55000.0,"55,000₫",55000.0,"55,000₫",0.0,,0.0,,,,,,False,,,,[],False,,[],[],[],[],0,False,,False,0,KATINAT,,Products/katinat/me-sua-da-l--2040,,3,Ly,,,0,,,1102,0,False,3,,,,False,,55000.0,,50925.92592592593,55000.0,8,True,,,,
2039,4,Espresso Sữa Đá (S),,Espresso Sua Da (S),,,espresso-sua-da-s--2039,0,0.0,0,,,,,1102,Sản phẩm bên POS Lotus(news),,,IB00002,0.0,35000.0,"35,000₫",35000.0,"35,000₫",0.0,,0.0,,,,,,False,,,,[],False,,[],[],[],[],0,False,,False,0,KATINAT,,Products/katinat/espresso-sua-da-s--2039,,3,Ly,,,0,,,1102,0,False,0,,,,False,,35000.0,,32407.40740740741,35000.0,8,True,,,,
2038,4,Espresso Đen Đá (S),,Espresso Den Da (S),,,espresso-den-da-s--2038,0,0.0,0,,,,,1102,Sản phẩm bên POS Lotus(news),,,IB00001,0.0,32000.0,"32,000₫",32000.0,"32,000₫",0.0,,0.0,,,,,,False,,,,[],False,,[],[],[],[],0,False,,False,0,KATINAT,,Products/katinat/espresso-den-da-s--2038,,3,Ly,,,0,,,1102,0,False,0,,,,False,,32000.0,,29629.62962962963,32000.0,8,True,,,,
2037,4,Espresso Bạc Xỉu (S),,Espresso Bac Xiu (S),,,espresso-bac-xiu-s--2037,0,0.0,0,,,,,1102,Sản phẩm bên POS Lotus(news),,,TC0001,0.0,34000.0,"34,000₫",34000.0,"34,000₫",0.0,,0.0,,,,,,False,,,,[],False,,[],[],[],[],0,False,,False,0,KATINAT,,Products/katinat/espresso-bac-xiu-s--2037,,3,Ly,,,0,,,1102,0,False,0,,,,False,,34000.0,,31481.48148148148,34000.0,8,True,,,,
2036,4,Sô-Cô-La Katinat (Lạnh),,So-Co-La Katinat (Lanh),,,so-co-la-katinat-lanh--2036,0,0.0,0,,,,,1102,Sản phẩm bên POS Lotus(news),,,IB00010,0.0,54000.0,"54,000₫",54000.0,"54,000₫",0.0,,0.0,,,,,,False,,,,[],False,,[],[],[],[],0,False,,False,0,KATINAT,,Products/katinat/so-co-la-katinat-lanh--2036,,3,Ly,,,0,,,1102,0,False,0,,,,False,,54000.0,,50000.0,54000.0,8,True,,,,
2035,4,Espresso Bạc Xỉu (L),,Espresso Bac Xiu (L),,,espresso-bac-xiu-l--2035,0,0.0,0,,,,,1102,Sản phẩm bên POS Lotus(news),,,TC0002,0.0,47000.0,"47,000₫",47000.0,"47,000₫",0.0,,0.0,,,,,,False,,,,[],False,,[],[],[],[],0,False,,False,0,KATINAT,,Products/katinat/espresso-bac-xiu-l--2035,,3,Ly,,,0,,,1102,0,False,0,,,,False,,47000.0,,43518.51851851852,47000.0,8,True,,,,
